rssi,snr,ax,ay,az,wx,wy,wz,mx,my,mz,temperature,p,time,timeOfWeek,timeOFWeekFracPart,gpsFix,ecefx,ecefy,ecefz,positionAcc3D,ecefvx,ecefvy,ecefvz,speedAcc,numbSat,drogueStatus
-80,26,-976.699,-70.5882,-235.294,-0.00479369,0.0687096,-0.0154463,4572.55,-3445.17,-1794.64,27.5063,94102,276,592605200,464281,3,391946558,-435477106,-251399823,378,5,-4,-3,15,8,1
-81,27,-968.932,-78.4314,-219.608,-0.0197074,0.0697748,-0.0186421,4647.3,-3251.81,-1698.31,27.5063,94109,277,592605600,465802,3,391946553,-435477101,-251399819,362,3,-3,-2,15,8,1
-80,26,-976.699,-86.2745,-223.529,-0.0154463,0.066579,-0.0175769,4684.67,-3329.15,-1698.31,27.5063,94093,277,592605600,465802,3,391946553,-435477101,-251399819,362,3,-3,-2,15,8,1
-80,25,-965.049,-82.3529,-223.529,-0.00479369,0.0729706,-0.0133158,4572.55,-3483.84,-1698.31,27.5312,94108,277,592606200,468094,3,391946546,-435477097,-251399814,341,2,-3,0,14,8,1
-80,26,-972.816,-78.4314,-231.373,-0.0111853,0.0751011,-0.0133158,4647.3,-3290.48,-1650.14,27.525,94108,276,592606400,468861,3,391946545,-435477096,-251399812,335,1,-2,-2,15,8,1
-80,26,-984.466,-74.5098,-215.686,-0.00692422,0.0751011,-0.0175769,4647.3,-3290.48,-1698.31,27.5125,94093,276,592606600,469629,3,391946543,-435477095,-251399810,329,2,-2,0,13,8,1
-80,24,-976.699,-78.4314,-223.529,-0.0154463,0.0719054,-0.01012,4535.18,-3483.84,-1746.47,27.525,94099,277,592607000,471169,3,391946543,-435477093,-251399807,318,1,-1,-1,15,8,1
-80,25,-976.699,-74.5098,-223.529,-0.00692422,0.0740359,-0.0143811,4609.93,-3367.82,-1698.31,27.5312,94105,276,592607200,471942,3,391946542,-435477092,-251399806,313,0,-2,0,12,8,1
-80,25,-972.816,-86.2745,-227.451,-0.0111853,0.0655138,-0.0207727,4647.3,-3290.48,-1698.31,27.525,94093,277,592607600,473492,3,391946542,-435477091,-251399803,304,2,-1,0,16,8,1
-80,26,-968.932,-82.3529,-227.451,-0.00585895,0.0740359,-0.00692422,4535.18,-3445.17,-1698.31,27.5312,94102,276,592607800,474269,3,391946541,-435477091,-251399802,300,0,-1,-1,15,8,1
